,YYYYMM,DATE,06.01.010.001.001,06.02.021.424,06.02.021.426,06.02.023.525,13.01.005.002.001,13.01.005.002.002,13.01.005.002.020,13.01.006.002.001,13.01.006.002.002,13.01.006.002.020,13.01.009.005,13.03.006.001.001,13.03.006.001.002,13.03.006.001.026,13.03.007.001.005,13.06.001.001,13.06.001.002,14.09.002.003,14.09.002.004,14.09.005.001,14.09.005.011,14.09.005.012,14.09.005.013,14.09.005.014,14948,14970,19597,20651,24447,29454,29820,29894,30213,30234,30236,30879,30916,30932,40482,43515,43520,45376,45378,45390,46204,46206,46218,53163,533973,533979,541309,58618,69813,86174,88944,94431,97726,97730,97738,98499
20,200510,24070,86.65599823,93.2699966431,98.0500030518,82.5,2052963.0,5493539.0,3602662.0,4243038.0,3350890.0,2459470.0,27.0000991821,1046.25,910.851013184,129.333496094,1046.16503906,2963.60009766,3297.19995117,53.8571014404,62.1413993835,326.438995361,297.959014893,369.619995117,251.236602783,332.765197754,4.35979986191,3161.0,58.8800010681,160.0,22.9099998474,191.0,590.0,2.32999992371,339.950012207,0.0399999991059,560598.0,7941.58007812,-2.56669685506e-14,78.0699996948,22.2700004578,1975.0,1883.0,75752736.0,4538050.0,84578784.0,1575874.0,4900.0,2014753.0,1.91999995708,42.4599990845,3991.2199707,18.2399997711,8.0,117.0,204.0,319.25,136.0,55755.0,18775.0,19795.0,1157.0
21,200511,24071,86.3109970093,92.9599990845,97.5699996948,82.5,2130222.0,5532306.0,3939417.0,4196032.0,3592994.0,2567368.0,19.7663993835,1041.42724609,880.090881348,128.824996948,1040.57714844,2186.30004883,2873.19995117,51.4095001221,58.470500946,316.933990479,297.619384766,370.988891602,248.984207153,332.980499268,4.55499982834,2916.0,56.0099983215,157.0,22.8700008392,191.0,535.0,2.59999990463,341.850006104,0.289999991655,1134759.0,8019.64990234,-1.07726327858e-14,109.519996643,27.2800006866,2198.0,1516.0,75372424.0,4460976.0,84268520.0,1211538.0,39538.0,2222728.0,2.22000002861,38.0600013733,3914.94995117,19.1399993896,6.40000009537,114.0,198.0,303.0,136.0,59107.0,17335.0,18316.0,1127.0
22,200512,24072,86.5699996948,91.4800033569,95.2300033569,82.5,2208632.0,5484571.0,3673983.0,4114205.0,3388441.0,2745344.0,14.4568996429,1024.15454102,863.892211914,126.812698364,1023.128479,1057.09997559,2069.0,53.0418014526,59.4813995361,342.028015137,298.206085205,409.039001465,250.80039978,344.060394287,4.65999984741,2600.0,56.3499984741,157.0,22.8299999237,191.0,518.5,2.13000011444,343.970001221,0.259999990463,351300.0,8129.16992188,-9.49891207358e-15,79.5699996948,26.2999992371,2060.0,1375.0,74075896.0,4388493.0,83895552.0,3284240.0,39848.0,3592851.0,2.79999995232,38.2200012207,3856.0300293,19.4799995422,7.15999984741,114.0,187.0,289.100006104,116.0,54512.0,15638.0,18596.0,1091.0
23,200601,24073,87.0859985352,86.1600036621,85.5899963379,82.5,2107219.0,4800573.0,3260918.0,3599079.0,3479305.0,2550570.0,1.68560004234,987.028503418,854.323791504,122.350402832,983.757080078,281.200012207,1474.40002441,58.3077011108,65.6579971313,354.327606201,308.05090332,456.957611084,255.018005371,362.567993164,4.73169994354,2262.0,62.6100006104,154.0,22.6499996185,195.0,575.0,1.79999995232,344.970001221,0.0900000035763,1447579.0,8207.5703125,-2.3109986147e-14,91.1999969482,26.5799999237,1664.0,1578.0,76077784.0,4348473.0,85356896.0,7308303.0,123036.0,6759716.0,2.50999999046,43.1899986267,3694.22998047,18.9599990845,7.03000020981,114.0,186.0,307.119995117,116.0,54100.0,13826.0,17972.0,1057.0
24,200602,24074,87.2590026855,86.1399993896,85.5899963379,82.7399978638,2061299.0,4837639.0,3145899.0,4120758.0,3084691.0,2584950.0,2.79169988632,970.219970703,822.409973145,120.494499207,969.940002441,-664.400024414,948.599975586,57.6969985962,62.0862998962,352.916503906,311.582611084,485.345703125,255.516799927,371.040985107,4.91839981079,2444.0,60.8699989319,153.0,22.3400001526,198.0,564.380004883,2.3599998951,347.940002441,0.140000000596,709004.0,8298.63964844,-3.61377594515e-14,84.1200027466,24.8299999237,1383.0,1193.0,80042072.0,4380311.0,90320720.0,1343238.0,67642.0,6376366.0,2.49000000954,47.7000007629,3245.45996094,19.2299995422,6.01000022888,114.0,181.0,318.5,113.0,43060.0,13967.0,17457.0,1032.0
25,200603,24075,87.7750015259,85.1600036621,84.0299987793,82.7399978638,2180383.0,5725008.0,3862475.0,4665548.0,4071534.0,2987784.0,8.95129966736,975.090881348,831.256774902,121.340896606,975.195373535,-259.299987793,2478.80004883,58.3690986633,64.0699996948,353.742614746,310.792114258,504.307312012,251.740402222,371.908203125,5.05709981918,2599.0,57.2999992371,153.0,22.9599990845,199.0,574.700012207,2.32999992371,349.25,0.409999996424,737405.0,8382.75976562,4.13999986649,138.13999939,29.5,1149.0,889.0,79935536.0,4363833.0,94340024.0,5573996.0,70764.0,18398772.0,3.56999993324,49.75,3707.62011719,19.5,7.26999998093,114.0,187.0,331.0,113.0,29303.0,15422.0,17506.0,998.0
26,200604,24076,87.8619995117,83.1900024414,80.4300003052,82.7399978638,1940871.0,5428865.0,3538737.0,4250673.0,3823924.0,2787257.0,11.0430002213,954.434997559,814.836975098,119.071502686,952.900024414,-1305.59997559,1929.5,64.3069992065,70.1610031128,371.266296387,319.288909912,570.773071289,248.278396606,385.545196533,5.2189002037,2465.0,70.0699996948,153.0,23.0699996948,199.0,631.25,1.83000004292,351.559997559,0.370000004768,1252952.0,8516.75976562,0.340000003576,75.8799972534,26.5699996948,1021.0,933.0,82302808.0,4296454.0,109464760.0,2887240.0,64940.0,6698322.0,3.49000000954,52.8800010681,4561.25,18.3199996948,6.90999984741,114.0,186.0,346.049987793,113.0,25798.0,15089.0,18292.0,996.0
27,200605,24077,88.033996582,81.6399993896,77.9899978638,82.7399978638,2310335.0,5768059.0,3516047.0,4338862.0,3965956.0,2745301.0,17.241399765,941.400024414,843.009521484,117.459503174,941.20501709,1201.5,2218.5,65.2786026001,70.960899353,379.43359375,330.5362854,620.697692871,244.257202148,399.981811523,5.29160022736,2442.0,70.0599975586,155.0,22.7800006866,202.0,674.380004883,1.63999998569,353.829986572,0.300000011921,529537.0,8592.30957031,0.300000011921,147.179992676,23.8400001526,1179.0,1119.0,82547224.0,4280110.0,114333008.0,2907800.0,150667.0,2962758.0,2.91000008583,52.5999984741,4347.22021484,18.1399993896,7.80999994278,114.0,189.0,345.880004883,121.0,32076.0,15763.0,18731.0,1003.0
28,200606,24078,87.8619995117,83.3700027466,80.7200012207,82.7399978638,2363667.0,5982892.0,3787495.0,4571035.0,3976046.0,2721041.0,19.2534008026,955.16192627,833.024169922,119.280899048,955.27142334,1962.90002441,3269.80004883,65.2380981445,70.9694976807,339.288604736,332.204498291,616.441772461,244.160903931,399.99810791,5.5013999939,2718.0,68.5299987793,158.0,22.6200008392,203.0,671.5,2.26999998093,354.839996338,0.140000000596,1059037.0,8739.1796875,3.07999992371,115.970001221,28.1599998474,1252.0,1049.0,83857712.0,4283602.0,115656856.0,1668657.0,471147.0,6101539.0,2.25,52.3800010681,3074.76000977,18.4300003052,6.92999982834,115.0,194.0,327.100006104,121.0,34316.0,17574.0,18720.0,996.0
29,200607,24079,88.2060012817,85.5100021362,84.0299987793,82.7399978638,2077097.0,5644308.0,3593550.0,4295923.0,3770480.0,2814719.0,2.24629998207,950.150024414,821.38848877,118.888999939,950.539978027,875.599975586,2106.69995117,69.1566009521,74.4365005493,346.86151123,337.951507568,622.343017578,242.027999878,403.76449585,5.59409999847,3050.0,73.6699981689,165.0,22.8400001526,207.0,675.0,2.94000005722,357.130004883,0.0900000035763,171827.0,8851.38964844,1.82076576039e-14,110.440002441,23.9799995422,1428.0,1148.0,83034608.0,4638775.0,119490728.0,6017831.0,161811.0,7433674.0,2.1400001049,52.75,3932.39990234,19.5799999237,7.32000017166,116.0,218.0,341.0,121.0,40316.0,19205.0,18707.0,995.0
